"cluster_id","ent","canon","verso","ck","kk"
"cgroup_L5_2e16719f","HGNC:11766","HGNC:11766","gain","vehicle_untreated",59
"cgroup_L5_c548d053","CHEBI:16412","CHEBI:16412","gain","vehicle_untreated",35
"cgroup_L5_871ae09e","NCBITaxon:2697049","NCBITaxon:2697049","gain","vehicle_untreated",34
"cgroup_L5_d9e23e09","HGNC:11892","HGNC:11892","gain","vehicle_untreated",32
"cgroup_L5_83f57274","STR:hypoxia","STR:hypoxia","gain","normoxia",25
"cgroup_L5_b71a25a2","CHEBI:137113","CHEBI:137113","gain","vehicle_untreated",25
"cgroup_L5_930c8dcf","CHEBI:16330","CHEBI:16330","gain","vehicle_untreated",23
"cgroup_L5_f94b6180","CHEBI:379896","CHEBI:379896","gain","vehicle_untreated",22
"cgroup_L5_87c40ebb","HGNC:5438","HGNC:5438","gain","vehicle_untreated",20
"cgroup_L5_c0d1d837","CHEBI:68534","CHEBI:68534","gain","vehicle_untreated",19
"cgroup_L5_905be893","HGNC:5992","HGNC:5992","gain","vehicle_untreated",18
"cgroup_L5_021e875e","CHEBI:27899","CHEBI:27899","gain","vehicle_untreated",17
"cgroup_L5_b6b8bc00","CHEBI:85993","CHEBI:85993","gain","vehicle_untreated",15
"cgroup_L5_8a54ddd6","CHEBI:28748","CHEBI:28748","gain","vehicle_untreated",14
"cgroup_L5_a32e5eaa","CHEBI:50131","CHEBI:50131","gain","vehicle_untreated",14
"cgroup_L5_aecd610f","STR:schizophrenia","STR:schizophrenia","gain","vehicle_untreated",14
"cgroup_L5_6df6a50e","CHEBI:50924","CHEBI:50924","gain","vehicle_untreated",13
"cgroup_L5_eb5e1e65","CHEBI:41879","CHEBI:41879","gain","vehicle_untreated",13
"cgroup_L5_0e66597e","CHEBI:31638","CHEBI:31638","gain","vehicle_untreated",12
"cgroup_L5_be15b706","HGNC:5973","HGNC:5973","gain","vehicle_untreated",12
"cgroup_L5_721184e6","CHEBI:230500","CHEBI:230500","gain","vehicle_untreated",11
"cgroup_L5_1d96b9da","CHEBI:84491","CHEBI:84491","gain","vehicle_untreated",10
"cgroup_L5_3a0a595f","CHEBI:49375","CHEBI:49375","gain","vehicle_untreated",10
"cgroup_L5_49d55bfd","HGNC:6014","HGNC:6014","gain","vehicle_untreated",10
"cgroup_L5_601ede7b","CHEBI:90943","CHEBI:90943","gain","vehicle_untreated",10
"cgroup_L5_85083e38","MeSH:D010300","MeSH:D010300","gain","vehicle_untreated",10
"cgroup_L5_a12414d4","CHEBI:16469","CHEBI:16469","gain","vehicle_untreated",10
"cgroup_L5_a25d0964","HGNC:6018","HGNC:6018","gain","vehicle_untreated",10
"cgroup_L5_c3ae78cd","MeSH:D003424","MeSH:D003424","gain","vehicle_untreated",10
"cgroup_L5_03b38818","CHEBI:63637","CHEBI:63637","gain","vehicle_untreated",9
"cgroup_L5_444e7fc2","NCBITaxon:10359","NCBITaxon:10359","gain","vehicle_untreated",9
"cgroup_L5_4b901bf1","STR:psoriasis","STR:psoriasis","gain","vehicle_untreated",9
"cgroup_L5_535d97f6","CHEBI:45783","CHEBI:45783","gain","vehicle_untreated",9
"cgroup_L5_702a5dea","CHEBI:75998","CHEBI:75998","gain","vehicle_untreated",9
"cgroup_L5_7934174c","CHEBI:231598","CHEBI:231598","gain","vehicle_untreated",9
